epoch,train_loss,train_acc,val_loss,val_acc,val_bleu4
1,4.058592058218325,0.2748559560498459,3.444895997879997,0.3252555225848994,0.0547245338997426
2,3.25912418456885,0.34361181830363124,3.169606019580175,0.344790636333663,0.0815807062513055
3,2.9017588597136186,0.3756867211577114,3.0650240580240884,0.3560006594131223,0.11489085519551619
4,2.6335500695834906,0.404646254857296,3.0101499330429804,0.36036927134849983,0.12157021082412192
5,2.3989595376645414,0.43368953503952834,2.989797236427428,0.3638311902406858,0.1377355979416726
6,2.1919711908212487,0.4623978292911698,2.9978630731976224,0.3590504451038576,0.1278213570816503
7,2.0033805476971707,0.496164411094734,3.020051778308929,0.3579788987800857,0.12936364943131157
8,1.8265356335777063,0.5273850998258073,3.044436152019198,0.3616880975931421,0.11623820770351731
9,1.6626078674968439,0.5596274956451829,3.09029545859685,0.35847345862182656,0.1239811970487286
10,1.5198065343375404,0.5920206351333244,3.1389676351395863,0.3529508737223871,0.12338839371215984
11,1.389270801894581,0.6226215998928045,3.2013808242858404,0.3464391691394659,0.11689875732400054
12,1.2610251878778014,0.6529545759078119,3.2785475632501027,0.35525881965051104,0.10380171114702046
13,1.1609912872695314,0.6802056813613828,3.3199335620516823,0.35352786020441807,0.11380498271472753
14,1.073686196781195,0.702582741524856,3.3826526346660795,0.3457797560171447,0.116923620571377
15,0.9967825140435094,0.7232178748492564,3.4549023348187644,0.3462743158588856,0.11975339032533791
16,0.9318794998498009,0.7412066193219885,3.5117832327645924,0.34734586218265745,0.13560172822780384
17,0.8627690568137855,0.7604013131448479,3.558658418201265,0.3403395977579954,0.10825146311280413
18,0.8137931309568996,0.7735160123274822,3.627778246289208,0.34536762281569405,0.10763217931099406
19,0.7700490462132537,0.783113359238912,3.631409766182067,0.3375370919881306,0.11260414213872916
20,0.7340482978013377,0.7930959399705212,3.7074089996398443,0.34091658424002635,0.10729159829843453
